X--Trace 1::[transient: TIME],Y--Trace 1::[Sum: V(4)],,X--Trace 2::[transient: TIME],Y--Trace 2::[2ndOrderFilter: V(17)],,X--Trace 3::[transient: TIME],Y--Trace 3::[Noise: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[4thOrderFilter: V(5)],,X--Trace 5::[transient: TIME],Y--Trace 5::[Clean: V(2)]
8.065381387642607e-8,0.014861406644082269,,8.065381387642607e-8,-4.227229048730691e-10,,8.065381387642607e-8,0.04550069638538431,,8.065381387642607e-8,-8.379311675339766e-7,,8.065381387642607e-8,0.007601434740931882
8.123630741493325e-8,0.01648357637337234,,8.123630741493325e-8,-4.1854836081982295e-10,,8.123630741493325e-8,-0.12837426265822016,,8.123630741493325e-8,-8.379050191913402e-7,,8.123630741493325e-8,0.007656333286065482
8.176175170527151e-8,0.022287182587324744,,8.176175170527151e-8,-4.147903379883938e-10,,8.176175170527151e-8,-0.02571745410757646,,8.176175170527151e-8,-8.378843945299151e-7,,8.176175170527151e-8,0.007705855081416782
8.206975866088715e-8,0.018166734964803283,,8.206975866088715e-8,-4.125911437693808e-10,,8.206975866088715e-8,0.08873528193847462,,8.206975866088715e-8,-8.37873941543265e-7,,8.206975866088715e-8,0.007734883956962238
8.233276191195532e-8,0.016106670720314183,,8.233276191195532e-8,-4.107154105407243e-10,,8.233276191195532e-8,-0.03162839365087701,,8.233276191195532e-8,-8.378678544600245e-7,,8.233276191195532e-8,0.00775967134675193
8.258730055859475e-8,0.015135386352848201,,8.258730055859475e-8,-4.089017412822193e-10,,8.258730055859475e-8,0.02912605331195754,,8.258730055859475e-8,-8.378654085219376e-7,,8.258730055859475e-8,0.007783660968524673
8.303698451865458e-8,0.014700091947175982,,8.303698451865458e-8,-4.057020402473807e-10,,8.303698451865458e-8,-0.07245334647211257,,8.303698451865458e-8,-8.378675736094026e-7,,8.303698451865458e-8,0.007826042539856451
8.357150976128833e-8,0.016389928274532197,,8.357150976128833e-8,-4.0190667054911533e-10,,8.357150976128833e-8,-0.0004393912150101179,,8.357150976128833e-8,-8.378729858763875e-7,,8.357150976128833e-8,0.007876420184596888
8.407369970783524e-8,0.017746543732667173,,8.407369970783524e-8,-3.983490366027918e-10,,8.407369970783524e-8,-0.08054128586191676,,8.407369970783524e-8,-8.378743362938805e-7,,8.407369970783524e-8,0.007923750307891303
8.507807960092908e-8,0.02172062632689968,,8.507807960092908e-8,-3.912579720887849e-10,,8.507807960092908e-8,-0.010689254769107401,,8.507807960092908e-8,-8.378621478492622e-7,,8.507807960092908e-8,0.008018410548551534
